GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US270030501071,270030501071,"Block Group 1, Census Tract 501.07, Anoka County, Minnesota",76406,8536
1500000US270030501081,270030501081,"Block Group 1, Census Tract 501.08, Anoka County, Minnesota",72794,10344
1500000US270030501082,270030501082,"Block Group 2, Census Tract 501.08, Anoka County, Minnesota",52163,4850
1500000US270030501091,270030501091,"Block Group 1, Census Tract 501.09, Anoka County, Minnesota",97419,18802
1500000US270030501092,270030501092,"Block Group 2, Census Tract 501.09, Anoka County, Minnesota",77438,23649
1500000US270030501093,270030501093,"Block Group 3, Census Tract 501.09, Anoka County, Minnesota",102222,37986
1500000US270030501094,270030501094,"Block Group 4, Census Tract 501.09, Anoka County, Minnesota",89485,17410
1500000US270030501101,270030501101,"Block Group 1, Census Tract 501.10, Anoka County, Minnesota",89167,16896
1500000US270030501102,270030501102,"Block Group 2, Census Tract 501.10, Anoka County, Minnesota",76103,9109
1500000US270030501111,270030501111,"Block Group 1, Census Tract 501.11, Anoka County, Minnesota",85156,18153
1500000US270030501112,270030501112,"Block Group 2, Census Tract 501.11, Anoka County, Minnesota",80000,27916
1500000US270030501113,270030501113,"Block Group 3, Census Tract 501.11, Anoka County, Minnesota",82750,49996
1500000US270030501141,270030501141,"Block Group 1, Census Tract 501.14, Anoka County, Minnesota",96417,9338
1500000US270030501142,270030501142,"Block Group 2, Census Tract 501.14, Anoka County, Minnesota",61071,11892
1500000US270030501151,270030501151,"Block Group 1, Census Tract 501.15, Anoka County, Minnesota",69766,33417
1500000US270030501152,270030501152,"Block Group 2, Census Tract 501.15, Anoka County, Minnesota",96250,18509
1500000US270030501153,270030501153,"Block Group 3, Census Tract 501.15, Anoka County, Minnesota",93409,12044
1500000US270030501154,270030501154,"Block Group 4, Census Tract 501.15, Anoka County, Minnesota",83250,18221
1500000US270030501161,270030501161,"Block Group 1, Census Tract 501.16, Anoka County, Minnesota",95579,7604
1500000US270030501162,270030501162,"Block Group 2, Census Tract 501.16, Anoka County, Minnesota",66827,23873
1500000US270030501163,270030501163,"Block Group 3, Census Tract 501.16, Anoka County, Minnesota",84758,33416
1500000US270030502081,270030502081,"Block Group 1, Census Tract 502.08, Anoka County, Minnesota",77202,18595
1500000US270030502082,270030502082,"Block Group 2, Census Tract 502.08, Anoka County, Minnesota",98015,26225
1500000US270030502101,270030502101,"Block Group 1, Census Tract 502.10, Anoka County, Minnesota",85144,6625
1500000US270030502102,270030502102,"Block Group 2, Census Tract 502.10, Anoka County, Minnesota",78056,15958
1500000US270030502103,270030502103,"Block Group 3, Census Tract 502.10, Anoka County, Minnesota",67083,6362
1500000US270030502104,270030502104,"Block Group 4, Census Tract 502.10, Anoka County, Minnesota",83500,18757
1500000US270030502151,270030502151,"Block Group 1, Census Tract 502.15, Anoka County, Minnesota",89500,10410
1500000US270030502152,270030502152,"Block Group 2, Census Tract 502.15, Anoka County, Minnesota",102411,9976
1500000US270030502161,270030502161,"Block Group 1, Census Tract 502.16, Anoka County, Minnesota",108750,24513
1500000US270030502162,270030502162,"Block Group 2, Census Tract 502.16, Anoka County, Minnesota",125694,18459
1500000US270030502163,270030502163,"Block Group 3, Census Tract 502.16, Anoka County, Minnesota",72852,13479
1500000US270030502171,270030502171,"Block Group 1, Census Tract 502.17, Anoka County, Minnesota",96406,14867
