GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US270030501071,270030501071,"Block Group 1, Census Tract 501.07, Anoka County, Minnesota",35.6,1.4,36.1,2.4,35.5,2.1
1500000US270030501081,270030501081,"Block Group 1, Census Tract 501.08, Anoka County, Minnesota",30.9,2.8,30.2,2.7,32.8,3.9
1500000US270030501082,270030501082,"Block Group 2, Census Tract 501.08, Anoka County, Minnesota",34.8,5.8,32.1,8.2,39.0,5.0
1500000US270030501091,270030501091,"Block Group 1, Census Tract 501.09, Anoka County, Minnesota",35.0,10.5,35.4,10.8,34.8,12.7
1500000US270030501092,270030501092,"Block Group 2, Census Tract 501.09, Anoka County, Minnesota",38.5,11.5,36.9,10.8,38.6,23.1
1500000US270030501093,270030501093,"Block Group 3, Census Tract 501.09, Anoka County, Minnesota",48.4,8.4,45.9,10.1,49.1,6.8
1500000US270030501094,270030501094,"Block Group 4, Census Tract 501.09, Anoka County, Minnesota",35.4,7.2,35.6,6.8,35.2,10.3
1500000US270030501101,270030501101,"Block Group 1, Census Tract 501.10, Anoka County, Minnesota",44.1,7.2,44.2,7.1,41.8,12.5
1500000US270030501102,270030501102,"Block Group 2, Census Tract 501.10, Anoka County, Minnesota",42.4,5.7,41.2,4.8,45.0,6.4
1500000US270030501111,270030501111,"Block Group 1, Census Tract 501.11, Anoka County, Minnesota",34.8,5.3,35.8,6.6,33.6,6.2
1500000US270030501112,270030501112,"Block Group 2, Census Tract 501.11, Anoka County, Minnesota",40.8,4.6,40.6,6.8,40.9,12.1
1500000US270030501113,270030501113,"Block Group 3, Census Tract 501.11, Anoka County, Minnesota",51.9,7.8,53.5,6.7,47.9,26.9
1500000US270030501141,270030501141,"Block Group 1, Census Tract 501.14, Anoka County, Minnesota",41.0,5.4,41.8,4.9,40.2,6.8
1500000US270030501142,270030501142,"Block Group 2, Census Tract 501.14, Anoka County, Minnesota",47.9,5.8,50.8,4.5,46.6,5.8
1500000US270030501151,270030501151,"Block Group 1, Census Tract 501.15, Anoka County, Minnesota",37.9,10.5,37.3,9.4,38.3,16.4
1500000US270030501152,270030501152,"Block Group 2, Census Tract 501.15, Anoka County, Minnesota",36.9,3.0,37.6,5.2,36.2,4.4
1500000US270030501153,270030501153,"Block Group 3, Census Tract 501.15, Anoka County, Minnesota",52.4,2.5,54.2,1.9,50.3,6.2
1500000US270030501154,270030501154,"Block Group 4, Census Tract 501.15, Anoka County, Minnesota",40.8,7.5,40.3,10.0,41.4,7.8
1500000US270030501161,270030501161,"Block Group 1, Census Tract 501.16, Anoka County, Minnesota",32.7,9.1,27.8,8.3,39.2,11.8
1500000US270030501162,270030501162,"Block Group 2, Census Tract 501.16, Anoka County, Minnesota",42.9,5.5,42.7,5.4,45.2,7.4
1500000US270030501163,270030501163,"Block Group 3, Census Tract 501.16, Anoka County, Minnesota",40.6,5.6,38.2,16.4,41.6,5.4
1500000US270030502081,270030502081,"Block Group 1, Census Tract 502.08, Anoka County, Minnesota",41.7,6.2,44.5,6.8,41.2,5.6
1500000US270030502082,270030502082,"Block Group 2, Census Tract 502.08, Anoka County, Minnesota",36.1,4.1,37.4,5.2,35.0,4.3
1500000US270030502101,270030502101,"Block Group 1, Census Tract 502.10, Anoka County, Minnesota",48.5,2.8,45.8,8.4,49.4,4.3
1500000US270030502102,270030502102,"Block Group 2, Census Tract 502.10, Anoka County, Minnesota",43.8,12.6,38.4,12.1,48.4,7.1
1500000US270030502103,270030502103,"Block Group 3, Census Tract 502.10, Anoka County, Minnesota",51.2,4.0,48.9,4.8,53.7,8.3
1500000US270030502104,270030502104,"Block Group 4, Census Tract 502.10, Anoka County, Minnesota",48.1,10.1,50.4,15.1,47.7,11.0
1500000US270030502151,270030502151,"Block Group 1, Census Tract 502.15, Anoka County, Minnesota",51.9,3.0,48.5,6.7,54.3,5.0
1500000US270030502152,270030502152,"Block Group 2, Census Tract 502.15, Anoka County, Minnesota",36.0,4.6,37.5,4.5,34.5,6.1
1500000US270030502161,270030502161,"Block Group 1, Census Tract 502.16, Anoka County, Minnesota",38.6,2.8,38.8,3.2,38.3,4.4
1500000US270030502162,270030502162,"Block Group 2, Census Tract 502.16, Anoka County, Minnesota",45.6,2.8,46.2,1.5,44.0,4.0
1500000US270030502163,270030502163,"Block Group 3, Census Tract 502.16, Anoka County, Minnesota",37.6,7.8,39.5,10.9,36.3,6.3
1500000US270030502171,270030502171,"Block Group 1, Census Tract 502.17, Anoka County, Minnesota",37.8,3.0,35.9,2.4,40.9,5.6
1500000US270030502172,270030502172,"Block Group 2, Census Tract 502.17, Anoka County, Minnesota",38.2,4.0,37.9,8.5,38.4,6.5
1500000US270030502181,270030502181,"Block Group 1, Census Tract 502.18, Anoka County, Minnesota",47.2,4.3,48.3,4.7,44.9,4.8
