GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1500000US270030501071,270030501071,"Block Group 1, Census Tract 501.07, Anoka County, Minnesota",2683,141,94,53,29,29,54,66,134,108,126,78,184,120,2062,217
1500000US270030501081,270030501081,"Block Group 1, Census Tract 501.08, Anoka County, Minnesota",3731,267,58,42,199,169,35,33,171,118,175,76,28,24,3065,313
1500000US270030501082,270030501082,"Block Group 2, Census Tract 501.08, Anoka County, Minnesota",1433,268,103,91,187,178,48,64,0,9,158,131,88,77,849,215
1500000US270030501091,270030501091,"Block Group 1, Census Tract 501.09, Anoka County, Minnesota",1719,318,24,26,104,147,20,31,31,33,36,37,0,9,1504,307
1500000US270030501092,270030501092,"Block Group 2, Census Tract 501.09, Anoka County, Minnesota",1106,211,1,2,82,73,0,9,1,2,66,57,0,9,956,217
1500000US270030501093,270030501093,"Block Group 3, Census Tract 501.09, Anoka County, Minnesota",1128,241,12,19,0,9,14,22,0,9,55,55,0,9,1047,241
1500000US270030501094,270030501094,"Block Group 4, Census Tract 501.09, Anoka County, Minnesota",1293,214,17,26,10,16,0,9,45,70,9,15,18,28,1194,214
1500000US270030501101,270030501101,"Block Group 1, Census Tract 501.10, Anoka County, Minnesota",1306,143,22,17,0,9,40,62,27,30,30,28,0,9,1187,144
1500000US270030501102,270030501102,"Block Group 2, Census Tract 501.10, Anoka County, Minnesota",1347,156,101,84,51,47,28,28,53,62,112,73,0,9,1002,151
1500000US270030501111,270030501111,"Block Group 1, Census Tract 501.11, Anoka County, Minnesota",1549,244,9,14,0,9,38,44,53,53,138,144,69,91,1242,227
1500000US270030501112,270030501112,"Block Group 2, Census Tract 501.11, Anoka County, Minnesota",1779,259,19,18,0,9,13,15,0,9,44,40,114,125,1589,261
1500000US270030501113,270030501113,"Block Group 3, Census Tract 501.11, Anoka County, Minnesota",447,157,8,12,14,27,0,9,0,9,0,9,0,9,425,158
1500000US270030501141,270030501141,"Block Group 1, Census Tract 501.14, Anoka County, Minnesota",1695,164,6,10,16,16,0,9,8,12,73,68,0,9,1592,167
1500000US270030501142,270030501142,"Block Group 2, Census Tract 501.14, Anoka County, Minnesota",1277,145,2,2,28,38,5,8,7,11,83,76,21,28,1131,135
1500000US270030501151,270030501151,"Block Group 1, Census Tract 501.15, Anoka County, Minnesota",1080,206,40,49,30,35,0,9,0,9,10,16,0,9,1000,188
1500000US270030501152,270030501152,"Block Group 2, Census Tract 501.15, Anoka County, Minnesota",1809,253,34,51,12,19,0,9,51,74,10,15,0,9,1702,242
1500000US270030501153,270030501153,"Block Group 3, Census Tract 501.15, Anoka County, Minnesota",1060,189,2,4,9,13,1,2,9,15,0,9,0,9,1039,190
1500000US270030501154,270030501154,"Block Group 4, Census Tract 501.15, Anoka County, Minnesota",1522,242,53,45,9,14,28,49,68,107,46,59,38,60,1280,210
1500000US270030501161,270030501161,"Block Group 1, Census Tract 501.16, Anoka County, Minnesota",1595,265,29,45,160,225,22,33,43,48,0,9,0,9,1341,270
1500000US270030501162,270030501162,"Block Group 2, Census Tract 501.16, Anoka County, Minnesota",1486,229,51,48,69,55,8,13,20,28,70,93,43,59,1225,229
1500000US270030501163,270030501163,"Block Group 3, Census Tract 501.16, Anoka County, Minnesota",1491,241,49,77,111,124,35,53,0,9,0,9,0,9,1296,226
1500000US270030502081,270030502081,"Block Group 1, Census Tract 502.08, Anoka County, Minnesota",1611,283,46,36,1,10,8,13,57,66,29,46,218,251,1252,213
1500000US270030502082,270030502082,"Block Group 2, Census Tract 502.08, Anoka County, Minnesota",1730,241,0,9,67,91,3,7,39,40,0,9,26,42,1595,250
1500000US270030502101,270030502101,"Block Group 1, Census Tract 502.10, Anoka County, Minnesota",1122,198,0,9,90,122,9,14,51,77,17,17,0,9,955,186
1500000US270030502102,270030502102,"Block Group 2, Census Tract 502.10, Anoka County, Minnesota",1140,213,0,9,35,29,12,19,0,9,39,65,152,180,902,183
1500000US270030502103,270030502103,"Block Group 3, Census Tract 502.10, Anoka County, Minnesota",883,156,29,28,9,14,0,9,0,9,11,17,0,9,834,167
1500000US270030502104,270030502104,"Block Group 4, Census Tract 502.10, Anoka County, Minnesota",854,186,8,14,23,18,22,34,11,17,30,46,0,9,760,181
1500000US270030502151,270030502151,"Block Group 1, Census Tract 502.15, Anoka County, Minnesota",2449,237,42,45,88,86,11,17,19,22,62,37,74,79,2153,247
1500000US270030502152,270030502152,"Block Group 2, Census Tract 502.15, Anoka County, Minnesota",1859,272,60,63,0,9,1,2,0,9,154,187,1,2,1643,253
1500000US270030502161,270030502161,"Block Group 1, Census Tract 502.16, Anoka County, Minnesota",2377,267,6,11,26,39,20,32,24,36,91,124,108,168,2102,281
1500000US270030502162,270030502162,"Block Group 2, Census Tract 502.16, Anoka County, Minnesota",2349,212,0,9,23,24,8,12,27,38,115,111,0,9,2176,218
1500000US270030502163,270030502163,"Block Group 3, Census Tract 502.16, Anoka County, Minnesota",1033,164,32,47,22,30,1,3,37,61,10,17,48,55,883,182
1500000US270030502171,270030502171,"Block Group 1, Census Tract 502.17, Anoka County, Minnesota",1814,164,16,16,21,18,49,61,0,9,24,34,23,29,1681,163
1500000US270030502172,270030502172,"Block Group 2, Census Tract 502.17, Anoka County, Minnesota",1146,145,35,38,26,32,19,29,19,28,24,22,28,38,995,144
1500000US270030502181,270030502181,"Block Group 1, Census Tract 502.18, Anoka County, Minnesota",1813,228,17,25,10,17,0,9,45,57,27,30,0,9,1714,246
1500000US270030502182,270030502182,"Block Group 2, Census Tract 502.18, Anoka County, Minnesota",1345,224,21,23,0,9,17,28,53,65,36,53,8,11,1210,209
1500000US270030502191,270030502191,"Block Group 1, Census Tract 502.19, Anoka County, Minnesota",1292,194,13,21,0,9,19,29,11,18,0,9,0,9,1249,189
1500000US270030502192,270030502192,"Block Group 2, Census Tract 502.19, Anoka County, Minnesota",1661,260,1,2,41,35,23,35,0,9,74,76,0,9,1522,283
1500000US270030502201,270030502201,"Block Group 1, Census Tract 502.20, Anoka County, Minnesota",2238,508,0,9,0,9,0,9,56,89,108,146,0,9,2074,493
1500000US270030502202,270030502202,"Block Group 2, Census Tract 502.20, Anoka County, Minnesota",1645,363,59,64,2,4,0,9,41,46,101,101,257,365,1185,261
1500000US270030502203,270030502203,"Block Group 3, Census Tract 502.20, Anoka County, Minnesota",1260,273,17,27,31,44,0,9,0,9,0,9,0,9,1212,264
1500000US270030502204,270030502204,"Block Group 4, Census Tract 502.20, Anoka County, Minnesota",1868,358,193,194,130,163,36,43,0,9,82,116,0,9,1427,280
1500000US270030502211,270030502211,"Block Group 1, Census Tract 502.21, Anoka County, Minnesota",2030,342,40,64,9,13,0,9,0,9,65,51,49,54,1867,367
1500000US270030502212,270030502212,"Block Group 2, Census Tract 502.21, Anoka County, Minnesota",1272,181,39,59,0,9,0,9,0,9,0,9,81,126,1152,160
1500000US270030502213,270030502213,"Block Group 3, Census Tract 502.21, Anoka County, Minnesota",3930,429,0,9,35,42,104,125,0,9,341,327,35,54,3415,422
1500000US270030502221,270030502221,"Block Group 1, Census Tract 502.22, Anoka County, Minnesota",1328,207,17,27,9,13,15,20,12,17,65,99,0,9,1210,212
1500000US270030502222,270030502222,"Block Group 2, Census Tract 502.22, Anoka County, Minnesota",1052,181,0,9,0,9,20,30,0,9,0,9,0,9,1032,183
1500000US270030502223,270030502223,"Block Group 3, Census Tract 502.22, Anoka County, Minnesota",1330,198,0,9,0,9,0,9,0,9,23,35,0,9,1307,202
1500000US270030502224,270030502224,"Block Group 4, Census Tract 502.22, Anoka County, Minnesota",1733,261,7,13,68,53,2,12,31,46,166,235,0,9,1459,228
1500000US270030502231,270030502231,"Block Group 1, Census Tract 502.23, Anoka County, Minnesota",2874,138,91,58,12,12,36,27,60,55,47,51,24,26,2604,161
1500000US270030502241,270030502241,"Block Group 1, Census Tract 502.24, Anoka County, Minnesota",802,211,0,9,0,9,0,9,9,14,0,9,0,9,793,212
1500000US270030502242,270030502242,"Block Group 2, Census Tract 502.24, Anoka County, Minnesota",2350,168,0,9,42,50,14,15,11,12,0,9,43,65,2240,176
1500000US270030502251,270030502251,"Block Group 1, Census Tract 502.25, Anoka County, Minnesota",3887,550,24,27,28,43,25,30,221,233,388,342,13,23,3188,531
1500000US270030502252,270030502252,"Block Group 2, Census Tract 502.25, Anoka County, Minnesota",2965,500,0,9,7,19,23,36,0,9,90,109,47,47,2798,502
1500000US270030502261,270030502261,"Block Group 1, Census Tract 502.26, Anoka County, Minnesota",3132,141,123,111,160,146,48,65,48,56,46,40,52,75,2655,212
1500000US270030502271,270030502271,"Block Group 1, Census Tract 502.27, Anoka County, Minnesota",1256,216,0,9,10,16,9,14,0,9,0,9,16,27,1221,218
1500000US270030502272,270030502272,"Block Group 2, Census Tract 502.27, Anoka County, Minnesota",3366,265,44,66,53,81,10,16,76,49,190,140,51,66,2942,317
1500000US270030502281,270030502281,"Block Group 1, Census Tract 502.28, Anoka County, Minnesota",1984,302,8,14,23,25,19,20,77,70,41,31,13,21,1803,304
1500000US270030502282,270030502282,"Block Group 2, Census Tract 502.28, Anoka County, Minnesota",3125,350,48,57,38,41,23,27,87,104,183,175,77,98,2669,374
1500000US270030502291,270030502291,"Block Group 1, Census Tract 502.29, Anoka County, Minnesota",2009,240,50,47,7,11,22,32,18,29,12,19,0,9,1900,256
1500000US270030502292,270030502292,"Block Group 2, Census Tract 502.29, Anoka County, Minnesota",2273,269,90,112,92,83,23,36,10,15,32,40,12,18,2014,285
1500000US270030502301,270030502301,"Block Group 1, Census Tract 502.30, Anoka County, Minnesota",2348,157,8,11,0,9,15,18,13,20,20,23,0,9,2292,149
